tenure,MonthlyCharges,TotalCharges,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,MonthlyChargeRatio,churn_binary
1,29.85,29.85,Female,0,Yes,No,No,No phone service,DSL,14.925,0
34,56.95,1889.5,Male,0,No,No,Yes,No,DSL,53.98571428571429,0
2,53.85,108.15,Male,0,No,No,Yes,No,DSL,36.050000000000004,1
45,42.3,1840.75,Male,0,No,No,No,No phone service,DSL,40.016304347826086,0
2,70.7,151.65,Female,0,No,No,Yes,No,Fiber optic,50.550000000000004,1
8,99.65,820.5,Female,0,No,No,Yes,Yes,Fiber optic,91.16666666666667,1
22,89.1,1949.4,Male,0,No,Yes,Yes,Yes,Fiber optic,84.75652173913043,0
10,29.75,301.9,Female,0,No,No,No,No phone service,DSL,27.44545454545454,0
28,104.8,3046.05,Female,0,Yes,No,Yes,Yes,Fiber optic,105.03620689655173,1
62,56.15,3487.95,Male,0,No,Yes,Yes,No,DSL,55.364285714285714,0
13,49.95,587.45,Male,0,Yes,Yes,Yes,No,DSL,41.96071428571429,0
16,18.95,326.8,Male,0,No,No,Yes,No,No,19.223529411764705,0
58,100.35,5681.1,Male,0,Yes,No,Yes,Yes,Fiber optic,96.28983050847458,0
49,103.7,5036.3,Male,0,No,No,Yes,Yes,Fiber optic,100.726,1
25,105.5,2686.05,Male,0,No,No,Yes,No,Fiber optic,103.3096153846154,0
69,113.25,7895.15,Female,0,Yes,Yes,Yes,Yes,Fiber optic,112.78785714285713,0
52,20.65,1022.95,Female,0,No,No,Yes,No,No,19.300943396226415,0
71,106.7,7382.25,Male,0,No,Yes,Yes,Yes,Fiber optic,102.53125,0
10,55.2,528.35,Female,0,Yes,Yes,Yes,No,DSL,48.03181818181818,1
21,90.05,1862.9,Female,0,No,No,Yes,No,Fiber optic,84.67727272727274,0
1,39.65,39.65,Male,1,No,No,No,No phone service,DSL,19.825,1
12,19.8,202.25,Male,0,Yes,No,Yes,No,No,15.557692307692308,0
1,20.15,20.15,Male,0,No,No,Yes,No,No,10.075,1
58,59.9,3505.1,Female,0,Yes,No,Yes,Yes,DSL,59.40847457627118,0
49,59.6,2970.3,Male,0,Yes,Yes,Yes,No,DSL,59.406000000000006,0
30,55.3,1530.6,Female,0,No,No,Yes,No,DSL,49.37419354838709,0
47,99.35,4749.15,Male,0,Yes,Yes,Yes,Yes,Fiber optic,98.940625,1
1,30.2,30.2,Male,0,Yes,Yes,No,No phone service,DSL,15.1,1
72,90.25,6369.45,Male,0,Yes,No,Yes,Yes,DSL,87.2527397260274,0
17,64.7,1093.1,Female,0,No,Yes,Yes,No,DSL,60.727777777777774,1
71,96.35,6766.95,Female,1,Yes,No,Yes,Yes,Fiber optic,93.98541666666667,0
2,95.5,181.65,Male,1,Yes,No,Yes,No,Fiber optic,60.550000000000004,0
27,66.15,1874.45,Female,0,Yes,Yes,Yes,No,DSL,66.94464285714285,0
1,20.2,20.2,Male,0,No,No,Yes,No,No,10.1,0
